column,type,label,description
CRASH_CRN,text,Crash Number	,Crash Record Number	
DISTRICT,text,District	,District Number where crash occurred
CRASH_COUNTY,text,County	,County Code Number where crash occurred
MUNICIPALITY,text,Municipality,County Municipality Code
POLICE_AGCY,text,Police Agency Code,Code of the reporting Police Agency
CRASH_YEAR,int4,Crash Year	,Year when the crash occurred
CRASH_MONTH,text,Crash Month	,Month when the crash occurred
DAY_OF_WEEK,int4,Day of Week	,Day of the Week code when crash occurred
TIME_OF_DAY,text,Time of Day	,The time of day when the crash occurred
HOUR_OF_DAY,text,Hour of Day	,The hour of Day when the crash occurred
ILLUMINATION,text,Illumination,"Code that defines lighting at crash scene
1 – Daylight 2 – Dark – no street lights 3 – Dark – street lights 4 – Dusk 5 – Dawn 6 – Dark – unknown roadway lighting 8 – Other
"
WEATHER,text,Weather,"Code for the first weather condition at time of crash
01 - Blowing Sand, Soil, Dirt 02 - Blowing Snow 03 - Clear 04 - Cloudy 05 - Fog, Smog, Smoke 06 - Freezing Rain or Freezing Drizzle 07 - Rain 08 - Severe Crosswinds 09 - Sleet or Hail 10 - Snow 98 - Other 99 - Unknown
"
ROAD_CONDITION,text,Road Condition,"Roadway Surface Condition Code
0 - Dry
1 - Wet
2 - Sand/ mud/ dirt/ oil/ or gravel
3 - Snow covered
4 - Slush
5 - Ice
6 - Ice Patches
7 - Water - standing or moving
8 - Other
9 - Unknown (expired)"
COLLISION_TYPE,text,Collision Type,"Collision category that defines the crash
0 - Non collision
1 - Rear-end
2 - Head-on
3 - Rear-to-rear (Backing)
4 - Angle
5 - Sideswipe (same dir.)
6 - Sideswipe (Opposite dir.)
7 - Hit fixed object
8 - Hit pedestrian
9 - Other or Unknown"
RELATION_TO_ROAD,text,Relation to Road,"Code for the crash's relativity to the road
1 - On roadway
2 - Shoulder
3 - Median
4 - Roadside (off trafficway; on vehicle area)
5 - Outside trafficway (in area not meant for vehicles)
6 - In parking lane
7 - Gore (intersection of ramp and highway)
9 - Unknown"
INTERSECT_TYPE,text,Intersect Type,"Code that defines the Intersection Type
00 - Mid-block
01 - Four way intersection
02 - ""T"" intersection
03 - ""Y"" intersection
04 - Traffic circle or Round About
05 - Multi-leg intersection
06 - On ramp
07 - Off ramp
08 - Crossover
09 - Railroad crossing
10 - Other
99 - Unknown (expired)"
TCD_TYPE,text,Traffic Control Device Type Code,"Code that defines the Traffic Control Device
0 - Not applicable
1 - Flashing traffic signal
2 - Traffic signal
3 - Stop sign
4 - Yield sign
5 - Active RR crossing controls
6 - Passive RR crossing controls
7 - Police officer or flagman
8 - Other Type TCD
9 - Unknown"
URBAN_RURAL,text,Urban Rural Flag	,Code to classify crash as Urban or Rural based on municipality	
LOCATION_TYPE,text,Location Type,"Code that defines the crash location
0 - Not applicable
1 - Underpass
2 - Ramp
3 - Bridge
4 - Tunnel
5 - Toll Booth
6 - Cross over related
7 - Driveway or Parking Lot
8 - Ramp and bridge
9 - Unknown"
SCH_BUS_IND,text,School Bus Flag	,Did the crash involve a School Bus? (Y/N); Y = Yes N = No
SCH_ZONE_IND,text,School Zone Flag	,Did the crash occur in a School Zone? (Y/N); Y = Yes N = No
TOTAL_UNITS,int4,Total Units,Total count of all Vehicles and Pedestrians	
PERSON_COUNT,int4,Person Count	,Total amount of people involved
VEHICLE_COUNT,int4,Vehicle Count	,Total amount of all vehicles involved
AUTOMOBILE_COUNT,int4,Automobile Count	,Total Amount of Automobiles Involved
MOTORCYCLE_COUNT,int4,Motorcycle Count	,Total amount of Motorcycles Involved
BUS_COUNT,int4,Bus Count	,Total amount of Buses involved
SMALL_TRUCK_COUNT,int4,Small Truck Count	,Total amount of Small Trucks involved
HEAVY_TRUCK_COUNT,int4,Heavy Truck Count	,Total amount of Heavy Trucks involved
SUV_COUNT,int4,SUV Count	,Total count of sport utility vehicles involved
VAN_COUNT,int4,Van Count	,Total amount of vans involved
BICYCLE_COUNT,int4,Bicycle Count	,Total amount of Bicycles involved
FATAL_COUNT,int4,Fatality Count	,Total amount of fatalities involved
INJURY_COUNT,int4,Injury Count	,Total count of all injuries sustained
MAJ_INJ_COUNT,int4,Major Injury Count,"Major Injury = Incapacitating injury, including bleeding wounds and 
distorted members (amputations or broken bones), and 
requires transport of the patient from the scene"
MOD_INJ_COUNT,int4,Moderate Injury Count,"Moderate Injury = Non- incapacitating injury, including bruises, abrasions, 
swelling, and limping. This is an injury that may require 
some form of medical treatment or hospitalization."
MIN_INJ_COUNT,int4,Minor Injury Count,"Minor Injury = Possible injury, although there may be no visible injuries, 
and the patient complains of pain. This is an injury that 
can be treated by basic first-aid application whether at the 
scene or in medical facilities."
UNK_INJ_DEG_COUNT,int4,Unknown Injury Degree count,No. of injuries with unknown severity
UNK_INJ_PER_COUNT,int4,Unknown Injured Person Count,No. of people that are unknown if injured
UNBELTED_OCC_COUNT,int4,Unbelted Occupant Count,Total count of all unbelted occupants
UNB_DEATH_COUNT,int4,Unbelted Death Count,No. of people killed not wearing a seatbelt
UNB_MAJ_INJ_COUNT,int4,Unbelted Major Injury Count,No. of people with major injuries not wearing a seatbelt
BELTED_DEATH_COUNT,int4,Belted Death Count,Total Deaths of belted occupants
BELTED_MAJ_INJ_COUNT,int4,Belted Major Injury Count,No. of people who sustained major injuries wearing a seatbelt
MCYCLE_DEATH_COUNT,int4,Motorcycle Death Count,Total amount of Motorcyclist fatalities
MCYCLE_MAJ_INJ_COUNT,int4,Motorcycle Major Injury Count,No. of Motorcyclists who sustained a major injury
BICYCLE_DEATH_COUNT,int4,Bicyclist Death Count,Total amount of Bicyclist Fatalities
BICYCLE_MAJ_INJ_COUNT,int4,Bicyclist Major Injury Cout,No. of Bicyclists who sustained a major injury
PED_COUNT,int4,Pedestrian Count,Total amount of Pedestrians involved
PED_DEATH_COUNT,int4,Pedestrian Death Count,Total amount of Pedestrian fatalities
PED_MAJ_INJ_COUNT,int4,Pedestrian Major Injury Count,No. of Pedestrians who sustained a major injury
COMM_VEH_COUNT,int4,Commercial Vehicle Count,Total Commercial vehicles involved
MAX_SEVERITY_LEVEL,int4,Max Severity Level,"Injury severity level of the crash
0 - Not injured 1 - Killed 2 – Suspected Serious injury 3 – Suspected Minor injury 4 – Possible Injury 8 - Injury/ Unknown Severity 9 - Unknown if Injured
"
DRIVER_COUNT_16YR,int4,Drive Count 16 years old	,Total amount of 16 year old drivers
DRIVER_COUNT_17YR,int4,Drive Count 17 years old	,Total amount of 17 year old drivers
DRIVER_COUNT_18YR,int4,Drive Count 18 years old	,Total amount of 18 year old drivers
DRIVER_COUNT_19YR,int4,Drive Count 19 years old	,Total amount of 19 year old drivers
DRIVER_COUNT_20YR,int4,Drive Count 20 years old	,Total amount of 20 year old drivers
DRIVER_COUNT_50_64YR,int4,Drive Count 50-64 years old	,Total amount of 50 to 64 year old drivers
DRIVER_COUNT_65_74YR,int4,Drive Count 65-74 years old	,Total amount of 65 to 74 year old drivers
DRIVER_COUNT_75PLUS,int4,Drive Count 75+ years old	,Total amount of drivers ages 75 and up
LATITUDE,text,Latitude	,GPS Coordinates from Police if present; Degrees:Min:Sec.Dec Sec
LONGITUDE,text,Longitude,GPS Coordinates from Police if present; Degrees:Min:Sec.Dec Sec
DEC_LAT,float8,Decimal Latitude	,Decimal Latitude for SR's; Degrees.Decimal Degrees
DEC_LONG,float8,Decimal Longitude	,Decimal Longitude for SR's; Degrees.Decimal Degrees
EST_HRS_CLOSED,int4,Estimated Hours Closed	,Estimated hours roadway was closed	
LANE_CLOSED,int4,Lane Closed Flag	,"Was there a lane closure? (Y/N); 1=Y, 0 = N "
LN_CLOSE_DIR,text,Lane Closed Direction Code	,"1 - North
2 - South
3 - East
4 - West
5 - North And South
6 - East and West
7 - All (N"
NTFY_HIWY_MAINT,text,Highway Maintenance Notified Flag	,"PENNDOT highway maintenance notified? 0 = No, 1 = Yes"
RDWY_SURF_TYPE_CD,text,Roadway Surface Type Code	,"Code for the Roadway surface type –only for fatal crashes	
1 - Concrete
2 - Blacktop
3 - Brick or Block
4 - Slag, Gravel, or Stone
5 - Dirt
8 - Other
9 - Unknown"
SPEC_JURIS_CD,text,Special Jurisdiction Code,"Code that defines any special jurisdiction – only for fatal crashes	
0 - No Special Jurisdiction
1 - National Park
2 - Military
3 - Indian Reservation
4 - College/University Campus
5 - Other Federal Sites
8 - Other
9 - Unknown"
TCD_FUNC_CD,text,Code for Traffic Control Device state,"0 - No Controls
1 - Device not Functioning
2 - Device Functioning improperly
3 - Device Functioning properly
4 - Emergency Preemptive Signal
9 - Unknown"
TFC_DETOUR_IND,text,Traffic Detour Indicator,"Was the Traffic Detoured? (Y/N) 0 = No, 1 = Yes"
WORK_ZONE_IND,text,Work Zone Flag	,"Did the crash occur in a work zone (Y/N) 0 = No, 1 = Yes"
WORK_ZONE_TYPE,text,Work Zone Type Code	,"Code to define the type of Work Zone
1 - Construction
2 - Maintenance
3 - Utility company"
WORK_ZONE_LOC,text,The Work Zone Location Code,"1 - Before the 1st work zone warning sign
2 - Advance warning area
3 - Transition area
4 - Activity area
5 - Termination area
8 - Other"
CONS_ZONE_SPD_LIM,int4,Construction Zone Speed Limit,Speed limit for the Construction Zone
WORKERS_PRES,text,Construction Workers Present,"Were construction personnel present? (Y/N); 0 = No, 1 = Yes"
WZ_CLOSE_DETOUR,text,Work Zone Closed Detour	,"Was traffic rerouted due to work zone?(Y/N); 0 = No, 1 = Yes "
WZ_FLAGGER,text,Work Zone Flagman Flag	,"Did Work zone have a flagman? (Y/N) 0 = No, 1 = Yes"
